exp,set_up,method,n_train,bayes_adj,metric,score,filter
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,100,False,brier,0.2404669016923723,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,100,True,brier,0.007204971088297,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,100,False,misclassification,0.4095999999999999,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,100,True,misclassification,0.0133333333333333,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,100,False,mae_bayes,0.0683116861759011,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,100,True,mae_bayes,0.0683116861759011,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,100,False,brier,0.1679748638108483,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,100,True,brier,0.0094729574603799,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,100,False,misclassification,0.2388,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,100,True,misclassification,0.005,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,100,False,mae_bayes,0.0831525710194918,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,100,True,mae_bayes,0.0831525710194918,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,100,False,brier,0.1190763944680471,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,100,True,brier,0.0072266314098622,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,100,False,misclassification,0.1727333333333333,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,100,True,misclassification,0.0130666666666666,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,100,False,mae_bayes,0.0569331624825936,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,100,True,mae_bayes,0.0569331624825936,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,500,False,brier,0.2342633932095926,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,500,True,brier,0.0010014626055174,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,500,False,misclassification,0.4008666666666667,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,500,True,misclassification,0.0046,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,500,False,mae_bayes,0.0262215648700814,all
MCAR_5d_095corr,MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,500,True,mae_bayes,0.0262215648700814,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,500,False,brier,0.1617914452690895,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,500,True,brier,0.0032895389186211,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,500,False,misclassification,0.2382666666666666,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,500,True,misclassification,0.0044666666666666,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,500,False,mae_bayes,0.0458544463587382,all
MCAR_5d_095corr,MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,500,True,mae_bayes,0.0458544463587382,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,500,False,brier,0.1135901528179382,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,500,True,brier,0.0017403897597532,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,500,False,misclassification,0.1630666666666667,all
MCAR_5d_095corr,MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,500,True,misclassification,0.0034,all
