exp,set_up,method,n_train,bayes_adj,metric,score,filter
MAR_5d_050corr,MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,brier,0.16938260353957388,all
MAR_5d_050corr,MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,brier,0.015161281624020445,all
MAR_5d_050corr,MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,misclassification,0.24386666666666668,all
MAR_5d_050corr,MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,misclassification,0.016133333333333333,all
MAR_5d_050corr,MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,mae_bayes,0.09342170861715901,all
MAR_5d_050corr,MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,mae_bayes,0.09342170861715901,all
MAR_5d_050corr,MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,brier,0.13473702264553367,all
MAR_5d_050corr,MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,brier,0.006788785686614035,all
MAR_5d_050corr,MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,misclassification,0.19246666666666667,all
MAR_5d_050corr,MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,misclassification,0.008266666666666644,all
MAR_5d_050corr,MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,mae_bayes,0.05811945238480143,all
MAR_5d_050corr,MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,mae_bayes,0.05811945238480143,all
MAR_5d_050corr,MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,brier,0.1365231162561635,all
MAR_5d_050corr,MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,brier,0.0037892495627155354,all
MAR_5d_050corr,MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,misclassification,0.19820000000000004,all
MAR_5d_050corr,MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,misclassification,0.005866666666666687,all
MAR_5d_050corr,MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,mae_bayes,0.03832584502407373,all
MAR_5d_050corr,MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25,SAEM,100,True,mae_bayes,0.03832584502407373,all
MAR_5d_050corr,MAR_5d_050corr_rep4_n115000_d5_corrMIXTURE_NA25,SAEM,100,False,brier,0.1651303721726207,all
