set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,running_time_predict
MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,100,"[[2.63300488805967, -0.994891030789835, -2.8597310128285, -1.56944368143691, 2.10450510752136], [-0.40665450256495]]",MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25_SAEM_100,6.0563976764679,8.6853973865509,2025-07-15 17:44:54.487852,
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,SAEM,100,"[[0.223158163089864, 1.55167014239504, 1.01742970358498, 2.65373295793002, 0.693311714229239], [0.245401297796705]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_SAEM_100,5.87252473831177,8.76858735084534,2025-07-15 17:44:56.411595,
MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25,SAEM,100,"[[2.01080881788984, 1.46338577961279, -0.0596929712894239, 0.625878870718406, 0.658544048781822], [0.155312763565318]]",MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25_SAEM_100,4.25811243057251,9.01449513435364,2025-07-15 17:44:58.896656,
MAR_5d_050corr_rep4_n115000_d5_corrMIXTURE_NA25,SAEM,100,"[[-2.20476193622603, 0.339594852557943, 0.240324106893804, 0.567875108288145, -0.0499183497330739], [-0.497840747894223]]",MAR_5d_050corr_rep4_n115000_d5_corrMIXTURE_NA25_SAEM_100,4.68449378013611,8.91974020004272,2025-07-15 17:45:01.348592,
MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,500,"[[1.55414198117199, -0.698951445067299, -0.314714650757327, -1.37971105116701, 1.03443601681094], [-0.0208726593783101]]",MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25_SAEM_500,15.5491945743561,9.06604814529419,2025-07-15 17:45:04.354236,
MAR_5d_050corr_rep1_n115000_d5_corrMIXTURE_NA25,SAEM,500,"[[3.40492883270015, -2.30759468958656, -0.939943032940557, 1.26316005658622, -0.979458737760335], [-0.0959730976903515]]",MAR_5d_050corr_rep1_n115000_d5_corrMIXTURE_NA25_SAEM_500,17.5489287376404,8.89071011543274,2025-07-15 17:45:06.961527,
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,SAEM,500,"[[0.0798012561056512, 0.738859477691725, 0.364043306548362, 1.86365179487341, 0.721057946612214], [-0.0167186253676309]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_SAEM_500,13.8634161949158,8.93894553184509,2025-07-15 17:45:33.554377,
MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25,SAEM,500,"[[1.83982862301405, 0.944078425771624, -0.253570044150653, 0.385173074374579, 0.849596529047843], [0.18280249210071]]",MAR_5d_050corr_rep3_n115000_d5_corrMIXTURE_NA25_SAEM_500,11.3411388397217,9.32813215255737,2025-07-15 17:45:10.38286,
MAR_5d_050corr_rep4_n115000_d5_corrMIXTURE_NA25,SAEM,500,"[[-2.07174406571144, 0.724639638256775, -0.410416718984007, 0.601760036501984, 0.0343955258921204], [0.118997290925111]]",MAR_5d_050corr_rep4_n115000_d5_corrMIXTURE_NA25_SAEM_500,11.4547905921936,9.11902046203613,2025-07-15 17:45:12.673196,
MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25,SAEM,1000,"[[1.5777684048736, -0.677468271785167, -0.451611739796145, -1.30959335236387, 1.05288806736273], [0.00268294913604164]]",MAR_5d_050corr_rep0_n115000_d5_corrMIXTURE_NA25_SAEM_1000,22.0892589092255,8.95240378379822,2025-07-15 17:45:15.288132,
