exp,set_up,method,n_train,bayes_adj,metric,score,filter
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,500,False,brier,0.14545579301796766,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,500,True,brier,0.010653543504077656,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,500,False,misclassification,0.2104666666666667,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,500,True,misclassification,0.012800000000000034,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,500,False,mae_bayes,0.07095651147322472,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,500,True,mae_bayes,0.07095651147322472,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,500,False,brier,0.1359857751996885,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,500,True,brier,0.014446749458623384,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,500,False,misclassification,0.19079999999999997,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,500,True,misclassification,0.016199999999999992,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,500,False,mae_bayes,0.07791870696808319,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,500,True,mae_bayes,0.07791870696808319,all
MCAR_20d_05corr,MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,1000,False,brier,0.14917818970827754,all
MCAR_20d_05corr,MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,1000,True,brier,0.004490727691666724,all
MCAR_20d_05corr,MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,1000,False,misclassification,0.22166666666666668,all
MCAR_20d_05corr,MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,1000,True,misclassification,0.004733333333333367,all
MCAR_20d_05corr,MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,1000,False,mae_bayes,0.05041434269040267,all
MCAR_20d_05corr,MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,1000,True,mae_bayes,0.05041434269040267,all
MCAR_20d_05corr,MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25,SAEM,1000,False,brier,0.1284042698188536,all
MCAR_20d_05corr,MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25,SAEM,1000,True,brier,0.006570301702843853,all
MCAR_20d_05corr,MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25,SAEM,1000,False,misclassification,0.18186666666666662,all
MCAR_20d_05corr,MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25,SAEM,1000,True,misclassification,0.003933333333333233,all
MCAR_20d_05corr,MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25,SAEM,1000,False,mae_bayes,0.06135818969054763,all
MCAR_20d_05corr,MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25,SAEM,1000,True,mae_bayes,0.06135818969054763,all
MCAR_20d_05corr,MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25,SAEM,1000,False,brier,0.12264706905668372,all
MCAR_20d_05corr,MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25,SAEM,1000,True,brier,0.008273627833505603,all
MCAR_20d_05corr,MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25,SAEM,1000,False,misclassification,0.17213333333333336,all
MCAR_20d_05corr,MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25,SAEM,1000,True,misclassification,0.008400000000000074,all
MCAR_20d_05corr,MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25,SAEM,1000,False,mae_bayes,0.06508636556132052,all
MCAR_20d_05corr,MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25,SAEM,1000,True,mae_bayes,0.06508636556132052,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,1000,False,brier,0.13927644337102862,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,1000,True,brier,0.004474193857138625,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,1000,False,misclassification,0.2041333333333334,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,1000,True,misclassification,0.006466666666666732,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,1000,False,mae_bayes,0.045712316144583987,all
MCAR_20d_05corr,MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,1000,True,mae_bayes,0.045712316144583987,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,1000,False,brier,0.12570599000274874,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,1000,True,brier,0.004166964261683628,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,1000,False,misclassification,0.18233333333333335,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,1000,True,misclassification,0.00773333333333337,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,1000,False,mae_bayes,0.03774885752516718,all
MCAR_20d_05corr,MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,1000,True,mae_bayes,0.03774885752516718,all
MCAR_20d_05corr,MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,5000,False,brier,0.1460649797418036,all
MCAR_20d_05corr,MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,5000,True,brier,0.0013775177251927895,all
