set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,running_time_predict
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,100,"[[2.58285242164744, -1.16305835893034, -1.73116190375335, 0.66737403683105, 0.0236144741788986], [0.168356704043971]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_SAEM_100,3.35694813728333,6.09019470214844,2025-07-15 17:57:27.783003,
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,100,"[[3.72188255026967, -0.259885150262378, 0.370579650173347, -2.83667530402619, 2.02753522561133], [0.269873237584173]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_SAEM_100,3.3444619178772,6.05583810806274,2025-07-15 17:57:33.763041,
MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,100,"[[-1.52775500102249, -2.80098551589205, 1.45769180601709, -0.323074244558844, 0.50654838117814], [-0.1155105608406]]",MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25_SAEM_100,3.39119291305542,5.72001695632935,2025-07-15 17:57:40.102911,
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,500,"[[1.40304554393347, -0.515415931740778, -0.507556734649822, -0.541925172563288, 0.446775656149029], [0.0402315812513379]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_SAEM_500,10.0563216209412,6.37138056755066,2025-07-15 17:57:59.852391,
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,500,"[[1.29960070446103, 1.00650457490805, 0.655160600282761, -1.58110156211025, 0.714899185122958], [0.295728596626332]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_SAEM_500,9.1918466091156,6.57029628753662,2025-07-15 17:58:06.455876,
MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,500,"[[-1.80996979340185, -1.20310540794507, -0.804776846151869, 0.45806012975903, 0.117997647542245], [0.0113903562021298]]",MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25_SAEM_500,12.0587573051453,6.21571707725525,2025-07-15 17:58:12.972835,
MCAR_5d_095corr_rep3_n115000_d5_corr95_NA25,SAEM,500,"[[0.55161135796624, -0.707559473867692, -1.78063739880969, -0.279517347171854, -0.897015948214607], [-0.115211520765864]]",MCAR_5d_095corr_rep3_n115000_d5_corr95_NA25_SAEM_500,13.2599370479584,6.09269428253174,2025-07-15 17:58:19.746197,
MCAR_5d_095corr_rep4_n115000_d5_corr95_NA25,SAEM,500,"[[-0.277347526219085, 3.28511228046202, -0.951902962551457, -0.380019688430581, 1.99835258168466], [-0.169746515023253]]",MCAR_5d_095corr_rep4_n115000_d5_corr95_NA25_SAEM_500,14.3965022563934,6.57438158988953,2025-07-15 17:58:27.013797,
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,1000,"[[1.58223022787093, -0.827646368882687, -0.675735270523068, -0.179771222838549, 0.444491842485452], [0.00784782301578374]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_SAEM_1000,18.9901666641235,6.33990263938904,2025-07-15 17:58:32.907049,
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,1000,"[[0.924997249322762, 0.582754778072497, 0.879348138377396, -1.23446621677115, 0.554993704765689], [0.0540779905393974]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_SAEM_1000,16.0482349395752,6.52999758720398,2025-07-15 17:58:39.342644,
MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,1000,"[[-0.887719076884262, -2.50151311661743, -0.356636705995333, 0.104422613083897, 0.468007409522301], [0.063988231551574]]",MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25_SAEM_1000,17.7714076042175,6.3429651260376,2025-07-15 17:58:46.200039,
MCAR_5d_095corr_rep3_n115000_d5_corr95_NA25,SAEM,1000,"[[-0.103575217490366, -0.157214786906364, -1.37476759705405, -0.559265854359733, -0.790145647175934], [-0.0811120288083619]]",MCAR_5d_095corr_rep3_n115000_d5_corr95_NA25_SAEM_1000,21.5645747184753,6.40000939369202,2025-07-15 17:58:52.415642,
